person,race,gender
James Horner,White,Male
James Newton Howard,White,Male
Jan A.P. Kaczmarek,White,Male
Javier Navarrete,White,Male
John Debney,White,Male
John Powell,White,Male
John Williams,White,Male
Jonny Greenwood,White,Male
Justin Hurwitz,White,Male
Jóhann Jóhannsson,White,Male
Ludovic Bource,White,Male
Ludwig Goransson,White,Male
Marc Shaiman,White,Male
Marco Beltrami,White,Male
"Buck Sanders, Marco Beltrami",White,Male
Mica Levi,White,Male
Michael Giacchino,White,Male
Mychael Danna,White,Male
Nicholas Britell,White,Male
Philip Glass,White,Male
Randy Newman,White,Male
Son Lux,A - I - W,Male
Steven Price,White,Male
Terence Blanchard,Black,Male
Thomas Newman,White,Male
"Atticus Ross, Trent Reznor",White,Male
"Atticus Ross, Jon Batiste, Trent Reznor",B - W,Male
Volker Bertelmann,White,Male
"Owen Pallett, William Butler",White,Male
Guillermo del Toro,Hispanic,Male
Alfonso Cuarón,Hispanic,Male
"Chris Butler, Sam Fell",White,Male
"Alan Wenkus, Andrea Berloff, Jonathan Herman, S. Leigh Savidge",White,F - M
"Alejandro G. Iñárritu, Alexander Dinelaris, Armando Bo, Jr., Nicolás Giacobone",H - W,Male
"Alessandro Camon, Oren Moverman",White,Male
"Alfonso Cuarón, Carlos Cuarón",Hispanic,Male
"Andrew Stanton, Bob Peterson, David Reynolds",White,Male
"Andrew Stanton, Jim Reardon, Pete Docter",White,Male
"Annie Mumolo, Kristen Wiig",White,Female
"Brian Currie, Nick Vallelonga, Peter Farrelly",White,Male
"Abraham Marder, Darius Marder, Derek Cianfrance",White,Male
"Dan Futterman, E. Max Frye",White,Male
"George Clooney, Grant Heslov",ME - W,Male
"Ethan Coen, Joel Coen, Matt Charman",White,Male
"Christopher Nolan, Jonathan Nolan",White,Male
"Jim Sheridan, Kirsten Sheridan, Naomi Sheridan",White,F - M
"Craig Borten, Melisa Wallack",White,F - M
"Owen Wilson, Wes Anderson",White,Male
"Eric Johnson, Keith Dorrington, Paul Tamasy, Scott Silver",White,Male
"Roman Coppola, Wes Anderson",White,Male
"Josh Cooley, Meg LeFauve, Pete Docter, Ronnie del Carmen",H - W,F - M
"Josh Singer, Tom McCarthy",White,Male
"Bob Peterson, Pete Docter, Tom McCarthy",White,Male
"Steven Spielberg, Tony Kushner",White,Male
"Deborah Davis, Tony McNamara",White,F - M
"Guillermo del Toro, Vanessa Taylor",H - W,F - M
"Keith Lucas, Kenny Lucas, Shaka King, Will Berson",B - W,Male
"Milo Addica, Will Rokos",White,Male
Aaron Sorkin,White,Male
