title,ID
Two Distant Strangers,13472984
Chasing Ice,1579361
I Am Sam,0277027
Monster's Ball,0285742
Deliver Us from Evil,0814075
Tangerines,2991224
Moonlight,4975722
Dcera (Daughter),7615052
Exit through the Gift Shop,1587707
CitizenFour,4044364
Another Year,1431181
The Imitation Game,2084970
Kung Fu Panda,0441773
Nine,0875034
Before Sunset,0381681
Iron Man 3,1300854
For Sama,9617456
The Hateful Eight,3460252
Anomalisa,2401878
Flight,1907668
LaLee's Kin: The Legacy of Cotton,0274622
Karama Has No Walls,2551790
We Can't Live without Cosmos,3965660
Albert Nobbs,1602098
War Photographer,0309061
Frozen,2294629
The Bourne Ultimatum,0440963
"Two Cars, One Night",0390579
Syriana,0365737
Breakthrough,7083526
Room,3170832
The Polar Express,0338348
Thoth,0299178
City of God,0317248
Borat Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,0443453
Logan,3315342
Belfast,12789558
Paperman,2388725
Shrek 2,0298148
The Chorus (Les Choristes),0372824
War/Dance,0912599
Kubo and the Two Strings,4302938
North Country,0395972
Phantom Thread,5776858
Feral,2499022
A Shaun the Sheep Movie: Farmageddon,6193408
The Lady and the Reaper (La Dama y la Muerte),1523317
The Banshees of Inisherin,11813216
Batman Begins,0372784
The Time Machine,0268695
The Red Suitcase,22763378
Loving,5479616
The Letter Room,11962160
Fresh Guacamole,2309977
Sophie Scholl - The Final Days,0426578
Another Round,10288566
Sister Rose's Passion,0420195
The Tempest,1274300
The Hobbit: The Desolation of Smaug,1170358
The Master,1560747
8 Mile,0298203
Mank,10618286
A History of Violence,0399146
The Cathedral,0351167
Transamerica,0407265
Gregor's Greatest Invention,0304107
Trumbo,3203606
"Monsters, Inc.",0198781
Wasp,0388534
Life of Pi,0454876
20 Feet from Stardom,2396566
Cartel Land,4126304
The Eleven O'Clock,6023474
Colette,11643154
Born into Brothels,0388789
Capernaum,8267604
Mighty Times: The Legacy of Rosa Parks,0353737
The Fog of War,0317910
Tropic Thunder,0942385
Kate & Leopold,0035423
Superman Returns,0348150
Michael Clayton,0465538
Training Day,0139654
I'll Wait for the Next One... (J'Attendrai Le Suivant...),0325638
I'm Not There,0368794
Na Wewe,1764508
Omar,2852406
Faces Places,5598102
Prologue,4955294
King Kong,0360717
Days of Glory (Indigènes),0444182
Bombshell,6394270
Volver,0441909
Gosford Park,0280707
Eternal Sunshine of the Spotless Mind,0338013
Can You Ever Forgive Me?,4595882
Le Mozart des Pickpockets (The Mozart of Pickpockets),0820971
Before Midnight,2209418
Unbroken,1809398
This Charming Man (Der Er En Yndig Mand),0340071
Genius Loci,11884670
The Post,6294822
Nibbles,0392542
The Weather Underground,0343168
A Matter of Loaf and Death,1118511
Darkest Hour,4555426
Smile Pinki,1360065
Lagaan,0169102
"My Country, My Country",4425258
Children Underground,0264476
The Town,0840361
Elle,3716530
A Concerto Is a Conversation,13793326
Wild Tales,3011894
Silver Linings Playbook,1045658
The Quiet American,0258068
God of Love,1631323
Ready Player One,1677720
Promises,0282864
Nefta Football Club,8551848
A.I. Artificial Intelligence,0212720
The Squid and the Whale,0367089
Coraline,0327597
Waltz with Bashir,1185616
Room on the Broom,2484120
Lion,3741834
Heroin(e),7389366
Ma Rainey's Black Bottom,10514222
Walk the Line,0358273
Lavatory - Lovestory,0983242
Marriage Story,7653254
Mr. Hublot,3043542
A Better Life,1554091
The Secret of Kells,0485601
Killing in the Name,1684897
A Girl in the River: The Price of Forgiveness,5144072
Loveless,6304162
Seabiscuit,0329575
The Conscience of Nhem En,1360057
The Man without a Past,0311519
Finding Nemo,0266543
Anna Karenina,1781769
Skin,6043142
My Big Fat Greek Wedding,0259446
Attica,12482898
Emma,9214832
No Man's Land,0283509
American Splendor,0305206
La Maison en Petits Cubes,1361566
Monsieur Lazhar,2011971
Once,0907657
Head over Heels,2391009
Don't Tell,0443446
Buzkashi Boys,2133304
Bear Story,3829254
Wild,2305051
Allied,3640424
Amour,1602620
Hitchcock,0975645
The Father,10272386
The Sea Inside,0369702
The Big Sick,5462602
Rachel Getting Married,1084950
Son of the Bride,0292542
Rango,1192628
Pain and Glory,8291806
The Cave,8726180
The Salesman,5186714
The Devil Wears Prada,0458352
In the Valley of Elah,0478134
Solo: A Star Wars Story,3778644
Elvis,3704428
Blood Diamond,0450259
Late Afternoon,7077824
ParaNorman,1623288
The Illusionist,0775489
Collective,10706602
Being the Ricardos,4995540
Writing with Fire,13630174
Dune,1160419
Ivalu,22054902
The Incredibles,0317705
Match Point,0416320
Drive My Car,14039582
Fences,2671706
The Pianist,0253474
Knives Out,8946378
Harry Potter and the Goblet of Fire,0330373
The Gatekeepers,2309788
The Good German,0452624
The Salt of the Earth,3674140
Pinocchio,8333746
